district,chiefdom,section,type_of_water_point
South,Bonthe,Bonthe Urban,3:Tube well or borehole
Tonkolili,Kafe Simiria,Mabonto,1:Protected spring
Bonthe,Kwamebai Krim,Kpanga Koimato,9:Unprotected dug well
West,Western Urban,West I,7:Piped water into dwelling/plot/yard
South,Bo,Bo Town,9:Unprotected dug well
South,Bonthe,Jong,2:Protected dug well
Kenema,Dama,Klajie,9:Unprotected dug well
North,Bombali,Tambakha,5:Sand/Sub-surface dam (with well or standpipe)
NA,NA,NA,NA
North,Bombali,Tambakha,5:Sand/Sub-surface dam (with well or standpipe)
NA,NA,NA,NA
Kenema,Kenema City,Gbo Kakajama A-Shimbeck,2:Protected dug well
Bo,Kakua,Samamie,9:Unprotected dug well
Kenema,Small Bo,Fallay,9:Unprotected dug well
Tonkolili,Kholifa Rowala,Mamuntha,2:Protected dug well
Tonkolili,Kalansogoia,Kemedugu,3:Tube well or borehole
Bo,Lugbu,Kamba,3:Tube well or borehole
NA,NA,NA,NA
Bo,Lugbu,Magbao,3:Tube well or borehole
East,Kono,Nimikoro,6:Public tap/standpipe (stand-alone or water kiosk
Moyamba,Fakunya,Kunafoi,3:Tube well or borehole
Western Urban,East II,Kissy Brook I,6:Public tap/standpipe (stand-alone or water kiosk
North,Tonkolili,Kholifa Rowala,2:Protected dug well
South,Bo,Bo Town,9:Unprotected dug well
Bo,Bo Town,North Ward-Kissy Town-Samamie,9:Unprotected dug well
Port Loko,Maforki,Sendugu,2:Protected dug well
East,Kono,Gbense,2:Protected dug well
Western Rural,Waterloo Rural,Hastings-Yams Farm,2:Protected dug well
North,Bombali,Sella Limba,3:Tube well or borehole
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
NA,NA,NA,NA
Bo,Bo Town,West Ward-Moriba Town - Sewa Road,3:Tube well or borehole
Bonthe,Bonthe Urban,Bonthe Town,3:Tube well or borehole
North,Port Loko,Masimera,2:Protected dug well
Kambia,Bramaia,Fortomboyie,OTHER:Hand pump
NA,NA,NA,NA
Port Loko,Lokomasama,Katonga,2:Protected dug well
NA,NA,NA,NA
Western Rural,Koya Rural,Malambay,2:Protected dug well
